"species"	"site"	"season"	"count"
"9"	"45"	"1"	NA
"10"	"45"	"1"	NA
"11"	"45"	"1"	NA
"12"	"45"	"1"	NA
"13"	"45"	"1"	NA
"14"	"45"	"1"	NA
"15"	"45"	"1"	NA
"16"	"45"	"1"	NA
"1"	"46"	"1"	NA
"2"	"46"	"1"	NA
"3"	"46"	"1"	NA
"4"	"46"	"1"	NA
"5"	"46"	"1"	NA
"6"	"46"	"1"	NA
"7"	"46"	"1"	NA
"8"	"46"	"1"	NA
"9"	"46"	"1"	NA
"10"	"46"	"1"	NA
"11"	"46"	"1"	NA
"12"	"46"	"1"	NA
"13"	"46"	"1"	NA
"14"	"46"	"1"	NA
"15"	"46"	"1"	NA
"16"	"46"	"1"	NA
"1"	"47"	"1"	5
"2"	"47"	"1"	13
"3"	"47"	"1"	7
"4"	"47"	"1"	18
"5"	"47"	"1"	0
"6"	"47"	"1"	0
"7"	"47"	"1"	0
"8"	"47"	"1"	1
"9"	"47"	"1"	0
"10"	"47"	"1"	0
"11"	"47"	"1"	0
"12"	"47"	"1"	0
"13"	"47"	"1"	0
"14"	"47"	"1"	0
"15"	"47"	"1"	0
"16"	"47"	"1"	0
"1"	"48"	"1"	NA
"2"	"48"	"1"	NA
"3"	"48"	"1"	NA
"4"	"48"	"1"	NA
"5"	"48"	"1"	NA
"6"	"48"	"1"	NA
"7"	"48"	"1"	NA
"8"	"48"	"1"	NA
"9"	"48"	"1"	NA
"10"	"48"	"1"	NA
"11"	"48"	"1"	NA
"12"	"48"	"1"	NA
"13"	"48"	"1"	NA
"14"	"48"	"1"	NA
"15"	"48"	"1"	NA
"16"	"48"	"1"	NA
"1"	"49"	"1"	NA
"2"	"49"	"1"	NA
"3"	"49"	"1"	NA
"4"	"49"	"1"	NA
"5"	"49"	"1"	NA
"6"	"49"	"1"	NA
"7"	"49"	"1"	NA
"8"	"49"	"1"	NA
"9"	"49"	"1"	NA
"10"	"49"	"1"	NA
"11"	"49"	"1"	NA
"12"	"49"	"1"	NA
"13"	"49"	"1"	NA
"14"	"49"	"1"	NA
"15"	"49"	"1"	NA
"16"	"49"	"1"	NA
"1"	"50"	"1"	0
"2"	"50"	"1"	0
"3"	"50"	"1"	0
"4"	"50"	"1"	2
"5"	"50"	"1"	0
"6"	"50"	"1"	0
"7"	"50"	"1"	0
"8"	"50"	"1"	9
"9"	"50"	"1"	0
"10"	"50"	"1"	0
"11"	"50"	"1"	0
"12"	"50"	"1"	0
"13"	"50"	"1"	0
"14"	"50"	"1"	0
"15"	"50"	"1"	0
"16"	"50"	"1"	0
"1"	"51"	"1"	NA
"2"	"51"	"1"	NA
"3"	"51"	"1"	NA
"4"	"51"	"1"	NA
"5"	"51"	"1"	NA
"6"	"51"	"1"	NA
"7"	"51"	"1"	NA
"8"	"51"	"1"	NA
"9"	"51"	"1"	NA
"10"	"51"	"1"	NA
"11"	"51"	"1"	NA
"12"	"51"	"1"	NA
"13"	"51"	"1"	NA
"14"	"51"	"1"	NA
"15"	"51"	"1"	NA
"16"	"51"	"1"	NA
"1"	"52"	"1"	NA
"2"	"52"	"1"	NA
"3"	"52"	"1"	NA
"4"	"52"	"1"	NA
"5"	"52"	"1"	NA
"6"	"52"	"1"	NA
"7"	"52"	"1"	NA
"8"	"52"	"1"	NA
"9"	"52"	"1"	NA
"10"	"52"	"1"	NA
"11"	"52"	"1"	NA
"12"	"52"	"1"	NA
"13"	"52"	"1"	NA
"14"	"52"	"1"	NA
"15"	"52"	"1"	NA
"16"	"52"	"1"	NA
"1"	"53"	"1"	NA
"2"	"53"	"1"	NA
"3"	"53"	"1"	NA
"4"	"53"	"1"	NA
"5"	"53"	"1"	NA
"6"	"53"	"1"	NA
"7"	"53"	"1"	NA
"8"	"53"	"1"	NA
"9"	"53"	"1"	NA
"10"	"53"	"1"	NA
"11"	"53"	"1"	NA
"12"	"53"	"1"	NA
"13"	"53"	"1"	NA
"14"	"53"	"1"	NA
"15"	"53"	"1"	NA
"16"	"53"	"1"	NA
"1"	"54"	"1"	1
"2"	"54"	"1"	1
"3"	"54"	"1"	16
"4"	"54"	"1"	16
"5"	"54"	"1"	0
"6"	"54"	"1"	24
"7"	"54"	"1"	0
"8"	"54"	"1"	0
"9"	"54"	"1"	9
"10"	"54"	"1"	10
"11"	"54"	"1"	0
"12"	"54"	"1"	0
"13"	"54"	"1"	0
"14"	"54"	"1"	0
"15"	"54"	"1"	0
"16"	"54"	"1"	0
"1"	"55"	"1"	1
"2"	"55"	"1"	4
"3"	"55"	"1"	7
"4"	"55"	"1"	17
"5"	"55"	"1"	0
"6"	"55"	"1"	9
"7"	"55"	"1"	0
"8"	"55"	"1"	0
"9"	"55"	"1"	4
"10"	"55"	"1"	4
"11"	"55"	"1"	0
"12"	"55"	"1"	0
"13"	"55"	"1"	0
"14"	"55"	"1"	0
"15"	"55"	"1"	0
"16"	"55"	"1"	0
"1"	"56"	"1"	0
"2"	"56"	"1"	18
"3"	"56"	"1"	2
"4"	"56"	"1"	3
"5"	"56"	"1"	0
"6"	"56"	"1"	0
"7"	"56"	"1"	1
"8"	"56"	"1"	0
"9"	"56"	"1"	0
"10"	"56"	"1"	0
"11"	"56"	"1"	0
"12"	"56"	"1"	0
"13"	"56"	"1"	0
"14"	"56"	"1"	0
"15"	"56"	"1"	0
"16"	"56"	"1"	0
"1"	"57"	"1"	NA
"2"	"57"	"1"	NA
"3"	"57"	"1"	NA
"4"	"57"	"1"	NA
"5"	"57"	"1"	NA
"6"	"57"	"1"	NA
"7"	"57"	"1"	NA
"8"	"57"	"1"	NA
"9"	"57"	"1"	NA
"10"	"57"	"1"	NA
"11"	"57"	"1"	NA
"12"	"57"	"1"	NA
"13"	"57"	"1"	NA
"14"	"57"	"1"	NA
"15"	"57"	"1"	NA
"16"	"57"	"1"	NA
"1"	"58"	"1"	1
"2"	"58"	"1"	8
"3"	"58"	"1"	0
"4"	"58"	"1"	3
"5"	"58"	"1"	0
"6"	"58"	"1"	0
"7"	"58"	"1"	0
"8"	"58"	"1"	0
"9"	"58"	"1"	0
"10"	"58"	"1"	0
"11"	"58"	"1"	0
"12"	"58"	"1"	0
"13"	"58"	"1"	0
"14"	"58"	"1"	0
"15"	"58"	"1"	0
"16"	"58"	"1"	0
"1"	"59"	"1"	NA
"2"	"59"	"1"	NA
"3"	"59"	"1"	NA
"4"	"59"	"1"	NA
"5"	"59"	"1"	NA
"6"	"59"	"1"	NA
"7"	"59"	"1"	NA
"8"	"59"	"1"	NA
"9"	"59"	"1"	NA
"10"	"59"	"1"	NA
"11"	"59"	"1"	NA
"12"	"59"	"1"	NA
"13"	"59"	"1"	NA
"14"	"59"	"1"	NA
"15"	"59"	"1"	NA
